PatientID,Prefix,PatientName,PreviousNames,EmailAddress,MailingAddress,MaritalStatus,Gender,CellPhone,HomeAddress,ResidenceType,PrimaryCarePhysician,DateOfBirth,SSN,HomePhone,WorkPhone,PreferredContact,StudentStatus,EmployerName,EmployerAddress,EmployerPhone,EmploymentStatus,EmergencyName,RelationshipToPatient,EmergencyCellphone,EmergencyWorkphone,EmergencyDateOfBirth
74239,Mrs.,Arri Pember,Doria Crewes,jlutty22@si.edu,PO Box 72584,Divorced,Male,540327878,71842 Jenifer Alley,Skilled Nursing Home,Paulette Keyzor,1981-04-21 15:21:26,5994906,70868015,377637777,Work,Not-a-Student,Patricia Venturoli,87 Doe Crossing Road,436253217,Part-time,Jemimah Lutty,Parent,362723349,689622438,1983-06-20 16:00:48
50425,Mrs.,Calli Hunton,Griffin Standall,lodougherty23@google.it,Apt 950,Divorced,Male,761095665,643 Comanche Trail,Private Home,Alexis Buntine,1946-03-23 14:48:20,66235380,846949726,275549751,Cell,Full-time,Davie Wichard,312 Commercial Junction,582036275,Part-time,Leilah O'Dougherty,Friend,975543436,38924700,1947-12-21 15:20:38
90373,Mrs.,Deana McAirt,,dklezmski24@facebook.com,Suite 37,Single,Female,91526661,3947 Cherokee Avenue,Private Home,Julieta Chesswas,1980-11-18 07:58:15,27479037,82951233,345122836,Work,Part-time,Dulcie Benaine,96246 Fulton Plaza,577643836,Full-time,Dalis Klezmski,Colleague,819785515,828656968,2001-08-08 09:07:12
10997,Mr.,Andria Eggleson,Vaughn Pococke,rphelipeau25@lycos.com,PO Box 46638,Divorced,Male,609810132,2 Lunder Way,Nursing Home,Bale Harris,1974-07-30 04:06:06,69207338,242855389,320454602,Work,Part-time,Logan Davidge,6290 Roxbury Hill,834409152,Retired,Reagan Phelipeau,Friend,832935653,427468213,1986-01-16 16:55:45
34755,Mrs.,Libbie Seaton,Issi Winters,itrytsman26@cbsnews.com,11th Floor,Widowed,Transgender,729367301,2 Pine View Hill,Residential Home,Marcello Gennings,1947-01-28 02:03:47,40696469,273577087,845018328,Work,Part-time,Zaneta Bothie,556 Kenwood Way,796419154,Not employed,Isidro Trytsman,Sibling,641225591,601424041,1953-10-04 09:15:36
92560,Dr.,Yorker Schwieso,Susana Castellini,cflageul27@yellowpages.com,PO Box 19741,Married,Transgender,233746584,1202 Bonner Road,Residential Home,Yale McKune,1968-10-06 00:03:03,15302127,669707997,227903437,Cell,Full-time,Hedwig Breed,89257 Arapahoe Circle,733615664,Not employed,Calida Flageul,Sibling,687855544,591454284,1951-09-09 08:08:09
96913,Mr.,Gradeigh Dwyr,Petronilla Corps,kadamoli28@typepad.com,Suite 45,Legally Separated,Female,145168434,1125 Eagan Center,Private Home,Clementina Klassman,1970-06-06 23:48:03,31658911,61669778,104156707,Work,Part-time,Muriel Corkitt,00 Merchant Junction,673320246,Part-time,Koral Adamoli,Spouse,380388402,403272810,2002-05-03 00:06:59
38310,Dr.,Erik Geoghegan,,alonder29@cornell.edu,20th Floor,Legally Separated,Male,839409872,533 Golf Course Way,Private Home,Polly Beaney,1997-11-04 08:11:10,58433248,30195863,206815652,Work,Full-time,Kayla Orum,539 Mallard Parkway,338230265,Active-Military-Duty,Anatol Londer,Colleague,764170582,2779965,1983-04-16 18:33:13
58432,Mrs.,Luella Whitfield,,asutlieff2a@wunderground.com,Room 1302,Married,Female,332325037,53 Talmadge Center,Private Home,Hayward Domsalla,1945-04-13 13:10:43,71977529,736827594,989376616,Home,Part-time,Ebeneser McSweeney,73889 Michigan Road,124448272,Self-employed,Alidia Sutlieff,Sibling,440452768,462863260,2001-07-24 04:26:15
90969,Dr.,Salomo Scoullar,Paula Sexten,mbarradell2b@marketwatch.com,13th Floor,Widowed,Male,827450768,682 Bartillon Avenue,Residential Home,Zelda Dyerson,1982-04-11 04:12:34,41305847,281480868,59010378,Cell,Full-time,Wadsworth Matic,7254 Merrick Way,950668239,Full-time,Marj Barradell,Colleague,528154092,932232257,1976-01-19 01:16:09
70314,Dr.,Grethel O'Calleran,Pammy McRavey,kwallsam2c@soundcloud.com,PO Box 48941,Single,Transgender,869639280,7 Myrtle Point,Skilled Nursing Home,Antonius Bargh,1980-09-13 06:08:28,34323223,782669184,888338885,Work,Full-time,Athene Bolens,4366 Springview Point,178624599,Not employed,Kathi Wallsam,Colleague,734252462,31631175,1972-03-05 05:11:45
94180,Mrs.,Avrom Rate,Charlie Pordall,mremer2d@forbes.com,Room 1205,Divorced,Male,432115465,9006 Norway Maple Hill,Nursing Home,Rogers Cowe,2001-07-01 13:17:47,99002965,959725255,594140181,Cell,Not-a-Student,Deerdre Pinsent,12483 Marquette Drive,472636485,Retired,Melodee Remer,Parent,904102449,204232710,1983-01-06 13:35:07
48713,Ms.,Felicle Govey,,bsibson2e@apple.com,7th Floor,Widowed,Male,938500759,874 Crescent Oaks Way,Residential Home,Hersh Dallicoat,2004-09-07 23:45:45,23922898,899099574,373255573,Home,Not-a-Student,Ronny Gerauld,7640 Almo Terrace,854524893,Retired,Bea Sibson,Friend,723096225,410886748,1971-06-05 02:43:44
66,Ms.,Mark Leiden,Karyn Stadden,lmcauslan2f@usnews.com,PO Box 58991,Divorced,Transgender,875095779,1 Menomonie Parkway,Residential Home,Hali Balas,1976-07-23 10:39:31,53664715,791959262,677236854,Cell,Full-time,Daphne Wiles,310 Anhalt Way,606375075,Active-Military-Duty,Lucine McAuslan,Friend,892625348,629272826,1966-03-15 18:31:22
81115,Mrs.,Gav Golby,Roxana Longina,mganing2g@hp.com,Apt 616,Single,Male,525891021,06 Swallow Way,Nursing Home,Hersch Axtell,1979-09-17 05:01:24,44070698,132475365,105968882,Work,Full-time,Concordia Cowthard,17238 Jackson Place,999615808,Retired,Merry Ganing,Colleague,402665579,655408995,1966-09-09 10:20:45
61485,Dr.,Georgy Haughian,Otha Phillps,emillichap2h@storify.com,Room 1484,Partner,Transgender,101355558,98 Esch Park,Residential Home,Betsey Hosten,1973-11-03 07:26:58,23925167,257564595,178325301,Home,Not-a-Student,Gaynor Phebee,4337 Annamark Junction,918943805,Active-Military-Duty,Eydie Millichap,Colleague,100294429,995487192,1956-03-16 13:25:27
23820,Dr.,Florri Pandie,Beilul Geldeford,jwhitwam2i@typepad.com,16th Floor,Divorced,Female,45039079,6 Fisk Park,Private Home,Rabbi Cardiff,1944-07-18 15:04:49,32434160,271686573,501424595,Home,Full-time,Andras Hinrich,6053 Shelley Crossing,99102865,Retired,Joletta Whitwam,Spouse,790558396,357513322,2001-03-11 10:40:58
27982,Dr.,Matias Bowery,Rutherford Lammenga,pstorer2j@tuttocitta.it,Apt 917,Divorced,Male,675146624,9 Service Drive,Residential Home,Dasi Beeby,2002-05-19 11:12:58,42295796,603543455,575706509,Home,Not-a-Student,Wandie Brittlebank,6696 Buena Vista Hill,848343428,Self-employed,Patrizius Storer,Sibling,857167226,958150047,1950-02-01 13:53:48
30370,Dr.,Giulietta Kilroy,,dblacklock2k@ow.ly,PO Box 88379,Married,Transgender,371350857,05 Buhler Point,Residential Home,Matty Sawdy,1957-09-11 23:23:06,50195434,173690946,440276793,Work,Full-time,Marlo Dimsdale,3 Harper Drive,233864403,Retired,Dion Blacklock,Colleague,983000568,35774950,1974-10-01 04:35:26
74340,Mrs.,Lindy Frankcom,Joellen Crolla,sedinborough2l@cdc.gov,Suite 81,Divorced,Transgender,241924755,0505 Mayer Trail,Nursing Home,Niki Peakman,1992-01-20 23:27:48,42620504,424186278,979000279,Cell,Part-time,Ivette Jonah,41 Arizona Junction,862596000,Self-employed,Sheelagh Edinborough,Spouse,667637251,944188518,1948-12-11 14:01:03
88827,Dr.,Vera Franschini,Suki Coite,nhaken2m@va.gov,3rd Floor,Divorced,Female,687915126,3107 Scott Avenue,Nursing Home,Westbrook MacNamee,1983-08-08 19:45:02,30261251,460567988,484985657,Home,Part-time,Eleanora Dinesen,65 Gerald Alley,690537733,Active-Military-Duty,Nappie Haken,Friend,239595580,945821966,1987-02-15 21:04:47
3924,Mr.,Penelopa Aherne,Cherida Celez,tsign2n@reuters.com,PO Box 83013,Single,Male,145742128,77 Brentwood Park,Nursing Home,Benyamin Fullager,1960-11-13 02:16:56,62332874,526530435,667927474,Cell,Not-a-Student,Geoffrey Wardale,5651 2nd Place,557923853,Not employed,Tracee Sign,Parent,912722241,262835183,1960-08-31 10:35:33
36512,Dr.,Casar Pudney,,mgabbidon2o@jiathis.com,10th Floor,Widowed,Male,351492790,5 Artisan Hill,Private Home,Amata Coggen,1991-02-18 05:47:24,54188298,26432118,349057841,Home,Part-time,Lind Reolfi,0 Crest Line Junction,625073485,Full-time,Maggy Gabbidon,Colleague,604688120,369682437,2001-12-03 13:51:34
16956,Mrs.,Luther Trench,,abonifas2p@printfriendly.com,17th Floor,Partner,Transgender,835088775,6 Memorial Terrace,Residential Home,Xavier Goddert.sf,1958-02-23 18:51:32,23202816,813739428,322292515,Cell,Full-time,Harper Saltmarsh,17773 Schurz Hill,367948170,Self-employed,Ajay Bonifas,Spouse,512681400,592152722,1975-01-23 21:27:37
10255,Mrs.,Horatia Cunniam,Rasla Pierson,ymarcu2q@google.cn,Room 1685,Partner,Female,714807632,631 Clarendon Alley,Nursing Home,Jodie Andriulis,1965-02-24 00:43:45,8355815,7150685,450098841,Home,Not-a-Student,Randolph Roostan,7705 Utah Court,83706181,Active-Military-Duty,Yul Marcu,Friend,454070798,510667811,1983-11-10 17:30:22
80718,Ms.,Sibyl Tulloch,Tadio Ferrierio,gbanstead2r@desdev.cn,Room 943,Single,Male,605940438,30898 Forest Run Court,Skilled Nursing Home,Rora Gunson,1979-10-27 20:27:20,3037563,226561699,905941012,Work,Full-time,Maurice Eannetta,767 Hintze Junction,685567151,Not employed,Garry Banstead,Spouse,416788051,730284041,1946-05-21 03:21:18
